run_at_utc,week,agency_folder,agency_id,status,failure_stage,failure_reason,gold_row_count,extracted_row_count,row_count_match,title_match_rate,dollar_total_gold,dollar_total_extracted,dollar_pct_error,elapsed_seconds
20260521T0649Z,w1326,2026 03 21 - qacps.org_cip_2026-2026,qacps.org_cip_2026-2026,ok,,,20,20,yes,0.25,12996460.0,12996460.0,0.0,86.2
20260521T0650Z,w1326,2026 03 22 - calvertnet.k12.md.us_cip_2026-2031,calvertnet.k12.md.us_cip_2026-2031,ok,,,26,1,no,0.0,0.0,0.0,,85.4
20260521T0652Z,w1326,2026 03 22 - viennava.gov_cip_2026-2042,viennava.gov_cip_2026-2042,ok,,,44,36,no,0.682,49746000.0,134547812.0,1.7047,175.0
20260521T0655Z,w1326,2026 03 23 - westchicago.org_cip_2025-2029,westchicago.org_cip_2025-2029,ok,,,140,987,no,0.336,38478200.0,4.0545291151183355e+38,1.0537210979511348e+31,197.2
20260521T0658Z,w1326,2026 03 24 - cityhpil.com_cip_2026-2035,cityhpil.com_cip_2026-2035,ok,,,95,161,no,0.684,39773000.0,535124600.0,12.4545,567.7
20260521T0707Z,w1326,2026 03 24 - spotsylvania.k12.va.us_cip_2027-2031,spotsylvania.k12.va.us_cip_2027-2031,ok,,,218,92,no,0.0,358323581.0,145502347.0,0.5939,171.1
20260521T0710Z,w1326,2026 03 25 - cascadecountymt.gov_cip_2025-2025,cascadecountymt.gov_cip_2025-2025,ok,,,44,56,no,1.0,17523889.0,68681395.0,2.9193,99.2
20260521T0712Z,w1326,2026 03 25 - centralsan.org_cip_2026-2035,centralsan.org_cip_2026-2035,ok,,,82,0,no,0.0,1265620000.0,0,1.0,450.7
20260521T0720Z,w1326,2026 03 25 - cityofasbury.com_cip_2025-2030,cityofasbury.com_cip_2025-2030,ok,,,60,0,no,0.0,24973117.0,0,1.0,119.8
20260521T0722Z,w1326,2026 03 25 - herndon-va.gov_cip_2026-2031,herndon-va.gov_cip_2026-2031,ok,,,46,76,no,0.0,263724208.0,3.5000020000022525e+23,1327144757223898.8,570.8
20260521T0731Z,w1326,2026 03 25 - lrd.usace.army.mil.buf_cip_2026-2027,lrd.usace.army.mil.buf_cip_2026-2027,ok,,,19,19,yes,1.0,3000000.0,307000000.0,101.3333,85.9
